Run,Center,ReleaseDate,FileType,FileName,FileSize,Download_path,Experiment,Title,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,BioProject,BioSample,SampleType,TaxID,ScientificName,SampleName,Submission,Organization
CRR955863,NGDC,2024-11-23,fastq,CRR955863_f1.fq.gz|CRR955863_r2.fq.gz,1823184249|1876613839,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955863/CRR955863_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955863/CRR955863_r2.fq.gz,CRX866996,LGA7,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189184,Metagenome or environmental sample,749906,gut metagenome,LGA7,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955848,NGDC,2024-11-23,fastq,CRR955848_f1.fq.gz|CRR955848_r2.fq.gz,1942262982|2020940480,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955848/CRR955848_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955848/CRR955848_r2.fq.gz,CRX867011,M007,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189199,Metagenome or environmental sample,749906,gut metagenome,M007,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955847,NGDC,2024-11-23,fastq,CRR955847_f1.fq.gz|CRR955847_r2.fq.gz,1960788052|2084589427,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955847/CRR955847_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955847/CRR955847_r2.fq.gz,CRX867012,M008,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189200,Metagenome or environmental sample,749906,gut metagenome,M008,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955849,NGDC,2024-11-23,fastq,CRR955849_f1.fq.gz|CRR955849_r2.fq.gz,1731417894|1794424029,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955849/CRR955849_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955849/CRR955849_r2.fq.gz,CRX867010,M005,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189198,Metagenome or environmental sample,749906,gut metagenome,M005,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955837,NGDC,2024-11-23,fastq,CRR955837_f1.fq.gz|CRR955837_r2.fq.gz,1580203227|1628390671,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955837/CRR955837_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955837/CRR955837_r2.fq.gz,CRX867022,M021,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189210,Metagenome or environmental sample,749906,gut metagenome,M021,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955830,NGDC,2024-11-23,fastq,CRR955830_f1.fq.gz|CRR955830_r2.fq.gz,1882182201|1975911154,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955830/CRR955830_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955830/CRR955830_r2.fq.gz,CRX867029,M029,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189217,Metagenome or environmental sample,749906,gut metagenome,M029,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955878,NGDC,2024-11-23,fastq,CRR955878_f1.fq.gz|CRR955878_r2.fq.gz,2523829355|2606357879,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955878/CRR955878_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955878/CRR955878_r2.fq.gz,CRX866981,M055,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189231,Metagenome or environmental sample,749906,gut metagenome,M055,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955874,NGDC,2024-11-23,fastq,CRR955874_f1.fq.gz|CRR955874_r2.fq.gz,1851127815|1950150059,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955874/CRR955874_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955874/CRR955874_r2.fq.gz,CRX866985,LB003,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189173,Metagenome or environmental sample,749906,gut metagenome,LB003,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955873,NGDC,2024-11-23,fastq,CRR955873_f1.fq.gz|CRR955873_r2.fq.gz,1980875641|2054337948,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955873/CRR955873_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955873/CRR955873_r2.fq.gz,CRX866986,LB004,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189174,Metagenome or environmental sample,749906,gut metagenome,LB004,CRA013605,Shanghai Jiaotong University School of Medicine
CRR955829,NGDC,2024-11-23,fastq,CRR955829_f1.fq.gz|CRR955829_r2.fq.gz,1967383202|2041275414,ftp://download.big.ac.cn/gsa2/CRA013605/CRR955829/CRR955829_f1.fq.gz|ftp://download.big.ac.cn/gsa2/CRA013605/CRR955829/CRR955829_r2.fq.gz,CRX867030,M030,,Genome,PCR,METAGENOMIC,Paired,,,ILLUMINA,PRJCA020390,SAMC3189218,Metagenome or environmental sample,749906,gut metagenome,M030,CRA013605,Shanghai Jiaotong University School of Medicine
